IP | Tempo de Resposta | Classificacao | Faixa Etaria
192.168.104.242 | 4.99s | Crítico | 18-30
192.168.198.197 | 0.58s | Crítico | 31-50
192.168.180.76 | 3.68s | Suspeito | 18-30
192.168.52.237 | 2.43s | Suspeito | <18
192.168.226.168 | 0.84s | Normal | 31-50
192.168.56.129 | 4.64s | Suspeito | 31-50
192.168.35.181 | 2.53s | Crítico | 51+
192.168.167.219 | 3.50s | Suspeito | 31-50
192.168.124.196 | 2.82s | Suspeito | <18
192.168.162.22 | 3.39s | Suspeito | 18-30
192.168.148.118 | 1.65s | Normal | 31-50
192.168.134.211 | 2.62s | Suspeito | 51+
192.168.26.117 | 2.91s | Suspeito | <18
192.168.34.210 | 1.65s | Normal | <18
192.168.210.37 | 1.82s | Normal | <18
192.168.38.174 | 4.30s | Suspeito | <18
192.168.46.138 | 3.75s | Crítico | <18
192.168.37.174 | 0.17s | Normal | 31-50
192.168.95.157 | 4.52s | Crítico | 18-30
192.168.234.183 | 2.14s | Crítico | 18-30
192.168.234.12 | 4.22s | Crítico | 18-30
192.168.122.230 | 2.24s | Suspeito | 18-30
192.168.241.78 | 2.69s | Crítico | 31-50
192.168.244.211 | 0.75s | Crítico | 31-50
192.168.30.87 | 1.64s | Normal | <18
192.168.228.76 | 2.06s | Crítico | 51+
192.168.69.126 | 2.69s | Crítico | 18-30
192.168.79.67 | 1.28s | Crítico | 31-50
192.168.48.248 | 2.61s | Suspeito | 18-30
192.168.137.198 | 1.30s | Crítico | 18-30
192.168.133.246 | 3.05s | Suspeito | <18
192.168.27.172 | 3.62s | Crítico | <18
192.168.19.52 | 3.37s | Suspeito | <18
192.168.13.234 | 1.19s | Crítico | <18
192.168.244.72 | 2.94s | Crítico | 18-30
192.168.123.178 | 2.20s | Suspeito | 18-30
192.168.163.191 | 4.54s | Suspeito | 51+
192.168.10.217 | 3.30s | Crítico | 51+
192.168.95.133 | 1.30s | Crítico | 51+
192.168.6.110 | 0.98s | Crítico | <18
192.168.128.54 | 2.17s | Suspeito | 31-50
192.168.33.217 | 4.86s | Suspeito | 31-50
192.168.143.83 | 2.60s | Crítico | 31-50
192.168.129.138 | 1.69s | Normal | 51+
192.168.82.198 | 0.80s | Crítico | 31-50
192.168.120.21 | 4.13s | Suspeito | 51+
192.168.161.233 | 4.12s | Crítico | <18
192.168.7.161 | 2.12s | Crítico | 31-50
192.168.126.192 | 2.30s | Suspeito | 18-30
192.168.225.245 | 4.90s | Suspeito | 51+
192.168.112.242 | 0.90s | Normal | 31-50
192.168.112.11 | 4.80s | Suspeito | <18
192.168.240.161 | 3.16s | Crítico | 51+
192.168.25.125 | 3.74s | Suspeito | 18-30
192.168.201.52 | 4.25s | Crítico | 18-30
192.168.183.47 | 1.93s | Crítico | 18-30
192.168.125.153 | 4.33s | Suspeito | 31-50
192.168.130.148 | 3.07s | Crítico | <18
192.168.228.35 | 0.30s | Crítico | 31-50
192.168.187.10 | 1.10s | Normal | <18
192.168.45.239 | 4.25s | Crítico | 51+
192.168.124.186 | 1.78s | Crítico | 18-30
192.168.240.236 | 4.80s | Crítico | 18-30
192.168.143.61 | 1.64s | Normal | <18
192.168.20.249 | 0.63s | Crítico | 31-50
192.168.59.18 | 0.17s | Crítico | 51+
192.168.13.97 | 2.54s | Suspeito | 51+
192.168.232.182 | 3.89s | Suspeito | <18
192.168.18.5 | 0.22s | Crítico | 18-30
192.168.40.212 | 1.56s | Crítico | 51+
192.168.186.238 | 3.08s | Crítico | 18-30
192.168.131.163 | 4.97s | Crítico | 18-30
192.168.173.29 | 2.74s | Suspeito | 51+
192.168.18.184 | 0.34s | Normal | <18
192.168.5.232 | 1.44s | Normal | 31-50
192.168.122.18 | 1.47s | Crítico | 51+
192.168.129.7 | 3.83s | Crítico | 18-30
192.168.211.230 | 1.18s | Normal | 31-50
192.168.125.151 | 3.97s | Crítico | 18-30
192.168.3.151 | 1.72s | Normal | 31-50
192.168.155.73 | 1.20s | Crítico | 31-50
192.168.103.163 | 4.51s | Suspeito | 51+
192.168.150.170 | 1.30s | Normal | 31-50
192.168.126.248 | 0.25s | Crítico | 18-30
192.168.96.25 | 2.45s | Crítico | 51+
192.168.58.225 | 0.50s | Normal | 31-50
192.168.217.26 | 3.70s | Suspeito | 31-50
192.168.41.142 | 1.17s | Crítico | 18-30
192.168.185.187 | 2.60s | Crítico | <18
192.168.195.10 | 3.63s | Suspeito | <18
192.168.180.36 | 3.16s | Suspeito | <18
192.168.114.249 | 4.65s | Crítico | <18
192.168.21.61 | 4.97s | Crítico | 51+
192.168.130.53 | 3.26s | Crítico | 31-50
192.168.141.76 | 4.93s | Suspeito | 31-50
192.168.230.95 | 3.37s | Crítico | 31-50
192.168.229.219 | 3.94s | Suspeito | <18
192.168.98.138 | 0.32s | Crítico | 51+
192.168.13.144 | 2.58s | Suspeito | 18-30
192.168.220.229 | 2.47s | Suspeito | 51+
192.168.18.89 | 3.84s | Suspeito | <18
192.168.114.6 | 0.47s | Crítico | 31-50
192.168.176.100 | 0.76s | Crítico | 31-50
192.168.27.43 | 4.39s | Suspeito | 51+
192.168.126.171 | 2.83s | Suspeito | 18-30
192.168.11.134 | 1.22s | Crítico | <18
192.168.189.94 | 3.61s | Suspeito | 31-50
192.168.220.132 | 0.67s | Normal | 51+
192.168.112.58 | 3.88s | Suspeito | 18-30
192.168.133.108 | 3.60s | Suspeito | 31-50
192.168.63.159 | 1.77s | Normal | <18
192.168.120.144 | 2.03s | Suspeito | <18
192.168.215.137 | 3.11s | Suspeito | 31-50
192.168.212.176 | 1.71s | Normal | <18
192.168.66.67 | 4.31s | Crítico | 51+
192.168.86.140 | 4.56s | Crítico | <18
192.168.161.113 | 1.78s | Normal | 18-30
192.168.9.232 | 4.50s | Crítico | 31-50
192.168.119.146 | 4.40s | Crítico | 18-30
192.168.225.32 | 3.11s | Suspeito | <18
192.168.252.248 | 1.66s | Crítico | 18-30
192.168.75.107 | 3.11s | Crítico | 31-50
192.168.39.25 | 4.77s | Crítico | 51+
192.168.247.32 | 0.54s | Crítico | 18-30
192.168.94.85 | 4.23s | Crítico | 18-30
192.168.242.174 | 3.70s | Crítico | 51+
192.168.229.32 | 2.50s | Crítico | 18-30
192.168.207.28 | 0.41s | Normal | 18-30
192.168.180.61 | 4.15s | Crítico | <18
192.168.69.63 | 0.21s | Crítico | 51+
192.168.44.40 | 0.91s | Normal | 31-50
192.168.56.67 | 4.06s | Suspeito | 18-30
192.168.97.54 | 2.41s | Suspeito | <18
192.168.85.237 | 3.63s | Suspeito | 31-50
192.168.221.155 | 0.77s | Crítico | <18
192.168.148.147 | 3.97s | Crítico | <18
192.168.204.117 | 4.86s | Crítico | <18
192.168.174.223 | 1.38s | Normal | 31-50
192.168.92.111 | 0.67s | Normal | 31-50
192.168.186.210 | 4.62s | Suspeito | <18
192.168.237.135 | 5.00s | Suspeito | 31-50
192.168.156.183 | 1.96s | Normal | 18-30
192.168.233.255 | 1.93s | Normal | 31-50
192.168.112.122 | 2.99s | Crítico | 31-50
192.168.218.22 | 2.25s | Crítico | 51+
192.168.216.87 | 1.45s | Crítico | 31-50
192.168.79.211 | 3.55s | Crítico | 31-50
192.168.223.108 | 2.11s | Crítico | 31-50
192.168.127.138 | 3.42s | Crítico | <18
192.168.240.42 | 4.13s | Crítico | 31-50
192.168.250.182 | 4.66s | Suspeito | <18
192.168.22.244 | 2.74s | Suspeito | <18
192.168.129.78 | 0.19s | Normal | 51+
192.168.91.55 | 0.52s | Crítico | <18
192.168.60.110 | 3.13s | Crítico | <18
192.168.205.210 | 1.92s | Crítico | 18-30
192.168.140.243 | 3.30s | Suspeito | <18
192.168.179.169 | 2.39s | Suspeito | 18-30
192.168.216.103 | 1.86s | Normal | <18
192.168.209.40 | 2.98s | Crítico | 31-50
192.168.168.145 | 1.72s | Normal | 51+
192.168.101.253 | 0.41s | Crítico | 31-50
192.168.16.28 | 3.82s | Crítico | <18
192.168.199.69 | 4.51s | Suspeito | 31-50
192.168.0.9 | 1.77s | Crítico | 18-30
192.168.207.91 | 2.93s | Suspeito | 18-30
192.168.195.235 | 4.18s | Suspeito | 18-30
192.168.188.14 | 1.01s | Crítico | 31-50
192.168.187.30 | 2.76s | Suspeito | 31-50
192.168.215.96 | 4.54s | Suspeito | <18
192.168.204.23 | 4.50s | Suspeito | 31-50
192.168.175.21 | 4.44s | Suspeito | 51+
192.168.12.102 | 1.18s | Crítico | 31-50
192.168.71.251 | 0.90s | Crítico | 31-50
192.168.247.182 | 1.42s | Crítico | 18-30
192.168.176.206 | 3.18s | Crítico | 31-50
192.168.218.87 | 1.64s | Crítico | 31-50
192.168.221.49 | 3.68s | Crítico | <18
192.168.145.77 | 1.17s | Normal | <18
192.168.3.180 | 4.06s | Crítico | 51+
192.168.233.16 | 4.81s | Suspeito | 51+
192.168.239.151 | 0.46s | Normal | <18
192.168.87.46 | 1.46s | Crítico | 18-30
192.168.157.70 | 1.97s | Crítico | 31-50
192.168.129.198 | 2.16s | Crítico | 31-50
192.168.101.142 | 4.65s | Crítico | <18
192.168.60.91 | 1.71s | Crítico | 51+
192.168.84.56 | 2.72s | Suspeito | <18
192.168.221.31 | 3.39s | Crítico | 18-30
192.168.189.95 | 4.22s | Crítico | 18-30
192.168.186.249 | 0.42s | Crítico | <18
192.168.135.7 | 3.21s | Crítico | 31-50
192.168.76.29 | 3.03s | Crítico | 51+
192.168.152.41 | 4.35s | Suspeito | 31-50
192.168.42.72 | 2.98s | Crítico | <18
192.168.194.134 | 2.64s | Suspeito | 18-30
192.168.154.138 | 1.74s | Normal | <18
192.168.33.13 | 1.74s | Crítico | 18-30
192.168.132.69 | 4.68s | Crítico | 51+
192.168.242.133 | 3.13s | Suspeito | <18
192.168.104.5 | 3.40s | Suspeito | 18-30
192.168.85.230 | 3.44s | Crítico | 31-50
192.168.142.140 | 1.45s | Normal | 18-30
192.168.203.148 | 0.54s | Normal | 31-50
192.168.50.118 | 0.80s | Crítico | 51+
192.168.167.196 | 1.91s | Normal | 31-50
192.168.169.171 | 2.80s | Crítico | 51+
192.168.229.214 | 1.66s | Normal | <18
192.168.168.246 | 0.26s | Crítico | 31-50
192.168.105.223 | 4.92s | Crítico | 18-30
192.168.81.64 | 0.61s | Crítico | 31-50
192.168.36.239 | 1.09s | Crítico | 18-30
192.168.56.217 | 2.11s | Crítico | 31-50
192.168.15.85 | 2.63s | Crítico | 18-30
192.168.222.116 | 2.00s | Normal | 51+
192.168.222.9 | 2.36s | Crítico | 51+
192.168.197.57 | 3.46s | Crítico | 18-30
192.168.65.244 | 3.34s | Suspeito | <18
192.168.36.158 | 2.75s | Crítico | 31-50
192.168.8.251 | 3.34s | Crítico | 51+
192.168.46.102 | 1.71s | Normal | 51+
192.168.210.195 | 2.92s | Crítico | 18-30
192.168.129.32 | 1.52s | Normal | 51+
192.168.119.5 | 4.98s | Suspeito | <18
192.168.154.254 | 2.67s | Suspeito | 31-50
192.168.16.87 | 4.12s | Crítico | 31-50
192.168.28.227 | 3.74s | Suspeito | 31-50
192.168.0.148 | 4.41s | Suspeito | 51+
192.168.87.119 | 4.89s | Suspeito | 18-30
192.168.25.61 | 2.92s | Suspeito | 18-30
192.168.122.246 | 0.57s | Normal | 18-30
192.168.249.157 | 3.67s | Suspeito | 18-30
192.168.164.86 | 3.35s | Crítico | 31-50
192.168.135.7 | 4.75s | Suspeito | 18-30
192.168.97.5 | 0.68s | Normal | 18-30
192.168.146.240 | 3.64s | Suspeito | 31-50
192.168.218.135 | 0.91s | Normal | 18-30
192.168.32.229 | 4.75s | Suspeito | 51+
192.168.217.115 | 2.08s | Suspeito | 51+
192.168.54.187 | 2.22s | Crítico | 51+
192.168.158.55 | 0.45s | Normal | 31-50
192.168.94.219 | 3.79s | Suspeito | 18-30
192.168.109.238 | 2.52s | Crítico | 51+
192.168.17.180 | 1.51s | Normal | <18
192.168.223.234 | 1.45s | Crítico | 51+
192.168.21.211 | 4.11s | Crítico | 18-30
192.168.117.105 | 1.68s | Normal | 18-30
192.168.167.137 | 3.57s | Suspeito | 18-30
192.168.54.33 | 4.24s | Crítico | 51+
192.168.237.66 | 4.87s | Crítico | 51+
192.168.165.2 | 1.98s | Crítico | 51+
192.168.109.62 | 2.68s | Crítico | <18
192.168.64.237 | 3.88s | Crítico | 18-30
192.168.16.71 | 1.73s | Normal | 18-30
192.168.7.139 | 1.54s | Normal | 51+
192.168.124.43 | 4.76s | Suspeito | 31-50
192.168.23.90 | 1.70s | Crítico | 31-50
192.168.108.109 | 3.84s | Crítico | 51+
192.168.235.106 | 1.97s | Crítico | 51+
192.168.163.118 | 2.14s | Suspeito | 18-30
192.168.241.253 | 3.67s | Suspeito | 18-30
192.168.118.119 | 1.78s | Normal | <18
192.168.205.178 | 0.18s | Crítico | 31-50
192.168.105.231 | 3.14s | Crítico | 18-30
192.168.157.222 | 4.71s | Suspeito | 51+
192.168.184.127 | 2.61s | Suspeito | 31-50
192.168.107.31 | 1.54s | Normal | <18
192.168.117.163 | 3.67s | Suspeito | 31-50
192.168.60.18 | 1.99s | Normal | 31-50
192.168.139.39 | 1.00s | Crítico | 51+
192.168.236.218 | 0.32s | Crítico | 51+
192.168.211.58 | 3.98s | Crítico | 31-50
192.168.128.217 | 1.59s | Normal | 51+
192.168.20.9 | 3.44s | Crítico | 31-50
192.168.82.174 | 0.17s | Normal | <18
192.168.142.135 | 1.23s | Normal | 18-30
192.168.185.235 | 4.83s | Crítico | 18-30
192.168.195.92 | 0.73s | Crítico | 31-50
192.168.5.43 | 4.85s | Crítico | 18-30
192.168.63.194 | 2.85s | Crítico | 18-30
192.168.194.87 | 2.14s | Suspeito | 31-50
192.168.225.192 | 4.86s | Suspeito | 51+
192.168.174.197 | 0.37s | Crítico | 18-30
192.168.120.232 | 2.07s | Suspeito | 18-30
192.168.102.192 | 2.36s | Crítico | 31-50
192.168.74.17 | 3.03s | Suspeito | 31-50
192.168.71.126 | 3.79s | Suspeito | 51+
192.168.213.88 | 1.49s | Normal | <18
192.168.157.133 | 4.37s | Crítico | 18-30
192.168.192.132 | 3.15s | Crítico | 31-50
192.168.145.226 | 0.60s | Crítico | 51+
192.168.110.21 | 3.70s | Crítico | 18-30
192.168.218.186 | 0.94s | Crítico | 51+
192.168.5.169 | 4.86s | Suspeito | 51+
192.168.67.20 | 0.42s | Crítico | 18-30
192.168.46.54 | 2.23s | Crítico | <18
192.168.57.190 | 3.15s | Suspeito | 18-30
192.168.159.73 | 2.36s | Suspeito | 18-30
192.168.119.186 | 1.49s | Crítico | 51+
192.168.152.209 | 1.36s | Normal | 51+
192.168.87.232 | 3.23s | Crítico | <18
192.168.140.37 | 1.57s | Crítico | 51+
192.168.220.78 | 3.10s | Suspeito | <18
192.168.138.154 | 1.28s | Crítico | 51+
192.168.23.211 | 3.64s | Suspeito | 18-30
192.168.43.139 | 0.23s | Crítico | <18
192.168.193.68 | 0.59s | Crítico | <18
192.168.87.75 | 0.13s | Crítico | 51+
192.168.73.192 | 2.71s | Suspeito | 18-30
192.168.104.200 | 1.97s | Crítico | 51+
192.168.34.48 | 2.01s | Suspeito | 51+
192.168.61.132 | 2.31s | Suspeito | 31-50
192.168.55.101 | 1.68s | Normal | 51+
192.168.160.246 | 0.34s | Crítico | <18
192.168.240.119 | 4.10s | Crítico | 18-30
192.168.195.250 | 4.31s | Crítico | <18
192.168.88.37 | 1.44s | Normal | 18-30
192.168.227.15 | 4.31s | Crítico | 51+
192.168.163.129 | 4.82s | Suspeito | 18-30
192.168.172.176 | 3.04s | Suspeito | 31-50
192.168.113.33 | 0.74s | Crítico | 51+
192.168.1.23 | 2.05s | Crítico | <18
192.168.60.148 | 1.56s | Crítico | <18
192.168.216.170 | 4.25s | Crítico | <18
192.168.117.56 | 2.81s | Crítico | <18
192.168.169.137 | 2.94s | Crítico | 51+
192.168.146.130 | 1.92s | Normal | 51+
192.168.150.108 | 4.47s | Suspeito | 31-50
192.168.241.128 | 0.13s | Crítico | 18-30
192.168.167.92 | 3.20s | Crítico | <18
192.168.145.201 | 1.54s | Normal | 51+
192.168.78.167 | 4.62s | Suspeito | <18
192.168.170.120 | 2.53s | Crítico | 51+
192.168.16.74 | 0.81s | Crítico | 18-30
192.168.147.169 | 4.68s | Crítico | 51+
192.168.203.82 | 0.29s | Normal | <18
192.168.89.156 | 3.20s | Suspeito | 18-30
192.168.123.84 | 4.99s | Suspeito | <18
192.168.190.106 | 0.19s | Crítico | 31-50
192.168.36.0 | 3.81s | Suspeito | 18-30
192.168.39.243 | 1.36s | Crítico | 18-30
192.168.26.110 | 1.36s | Crítico | <18
192.168.147.246 | 4.53s | Crítico | 31-50
192.168.20.169 | 4.65s | Suspeito | <18
192.168.146.102 | 3.22s | Crítico | 31-50
192.168.42.12 | 1.21s | Crítico | 31-50
192.168.61.135 | 4.52s | Crítico | 51+
192.168.175.162 | 0.59s | Crítico | <18
192.168.45.245 | 2.60s | Crítico | 51+
192.168.67.159 | 1.91s | Crítico | <18
192.168.191.184 | 1.63s | Normal | 31-50
192.168.90.230 | 4.20s | Suspeito | 31-50
192.168.146.28 | 3.80s | Crítico | 18-30
192.168.234.74 | 2.51s | Suspeito | <18
192.168.211.114 | 3.99s | Crítico | 18-30
192.168.55.70 | 1.78s | Crítico | 51+
192.168.48.142 | 0.35s | Normal | 51+
192.168.232.172 | 0.78s | Crítico | 31-50
192.168.148.13 | 2.63s | Suspeito | 31-50
192.168.109.54 | 2.09s | Crítico | 31-50
192.168.203.164 | 4.09s | Suspeito | 31-50
192.168.149.74 | 2.87s | Crítico | 51+
192.168.2.18 | 3.02s | Suspeito | 18-30
192.168.237.75 | 0.25s | Crítico | 31-50
192.168.145.35 | 2.31s | Crítico | 51+
192.168.88.46 | 3.23s | Suspeito | 18-30
192.168.101.3 | 1.15s | Normal | <18
192.168.126.140 | 3.09s | Crítico | 51+
192.168.22.222 | 4.54s | Crítico | <18
192.168.162.140 | 0.55s | Crítico | <18
192.168.166.52 | 3.38s | Crítico | <18
192.168.69.129 | 0.49s | Normal | <18
192.168.158.172 | 1.34s | Crítico | 31-50
192.168.202.68 | 4.51s | Suspeito | 51+
192.168.115.191 | 3.71s | Suspeito | 18-30
192.168.77.246 | 3.82s | Suspeito | 31-50
192.168.122.172 | 2.35s | Crítico | 51+
192.168.209.58 | 4.75s | Crítico | 51+
192.168.158.170 | 4.30s | Crítico | <18
192.168.55.145 | 4.09s | Suspeito | 31-50
192.168.19.165 | 0.42s | Normal | 18-30
192.168.29.74 | 1.01s | Crítico | <18
192.168.23.87 | 3.67s | Crítico | 18-30
192.168.167.255 | 4.62s | Suspeito | 51+
192.168.69.166 | 3.80s | Crítico | 18-30
192.168.25.193 | 2.93s | Crítico | 51+
192.168.82.132 | 2.31s | Suspeito | 18-30
192.168.97.199 | 2.89s | Crítico | 51+
192.168.196.146 | 0.59s | Crítico | 18-30
192.168.243.76 | 3.11s | Crítico | 51+
192.168.43.5 | 3.90s | Suspeito | 51+
192.168.152.5 | 2.97s | Suspeito | 31-50
192.168.112.223 | 0.44s | Crítico | <18
192.168.97.93 | 3.07s | Crítico | 18-30
192.168.54.55 | 2.69s | Suspeito | 31-50
192.168.172.159 | 3.08s | Suspeito | <18
192.168.176.93 | 1.38s | Crítico | <18
192.168.13.24 | 4.32s | Suspeito | 31-50
192.168.221.22 | 3.95s | Suspeito | 18-30
192.168.72.181 | 2.82s | Crítico | 51+
192.168.79.164 | 2.58s | Suspeito | <18
192.168.102.119 | 4.22s | Suspeito | <18
192.168.43.113 | 1.67s | Crítico | 51+
192.168.156.218 | 3.89s | Suspeito | 51+
192.168.162.69 | 1.32s | Crítico | 18-30
192.168.216.98 | 3.47s | Suspeito | 31-50
192.168.104.6 | 1.82s | Crítico | 51+
192.168.225.55 | 1.92s | Normal | <18
192.168.55.153 | 3.42s | Crítico | 18-30
192.168.34.118 | 3.31s | Crítico | 31-50
192.168.82.60 | 1.83s | Normal | 51+
192.168.43.81 | 3.36s | Suspeito | 51+
192.168.44.148 | 3.52s | Suspeito | <18
192.168.208.62 | 1.85s | Crítico | <18
192.168.235.69 | 0.52s | Crítico | 51+
192.168.118.251 | 3.61s | Suspeito | 31-50
192.168.27.219 | 2.56s | Suspeito | 18-30
192.168.132.182 | 0.45s | Crítico | 51+
192.168.222.150 | 1.55s | Crítico | <18
192.168.20.249 | 0.85s | Normal | 51+
192.168.113.113 | 4.00s | Crítico | 31-50
192.168.141.40 | 1.70s | Normal | 51+
192.168.173.210 | 2.56s | Crítico | 51+
192.168.136.152 | 4.57s | Crítico | <18
192.168.23.183 | 2.28s | Suspeito | 31-50
192.168.183.155 | 0.64s | Normal | 51+
192.168.9.152 | 0.73s | Crítico | 31-50
192.168.178.22 | 0.98s | Crítico | 18-30
192.168.49.20 | 2.52s | Crítico | 31-50
192.168.78.92 | 2.70s | Suspeito | 31-50
192.168.41.224 | 4.08s | Crítico | 51+
192.168.132.135 | 1.96s | Crítico | 18-30
192.168.217.100 | 4.73s | Suspeito | 51+
192.168.136.26 | 4.59s | Crítico | 51+
192.168.188.173 | 1.57s | Crítico | 51+
192.168.154.31 | 1.03s | Normal | <18
192.168.254.243 | 4.73s | Crítico | 18-30
192.168.4.57 | 4.36s | Suspeito | 51+
192.168.91.196 | 1.87s | Crítico | 18-30
192.168.14.48 | 4.64s | Suspeito | 51+
192.168.63.30 | 2.23s | Crítico | <18
192.168.173.217 | 2.54s | Crítico | 31-50
192.168.150.214 | 1.41s | Crítico | 31-50
192.168.0.227 | 2.42s | Crítico | 18-30
192.168.139.162 | 2.13s | Crítico | 18-30
192.168.88.4 | 1.40s | Crítico | 18-30
192.168.120.53 | 3.94s | Suspeito | <18
192.168.24.182 | 4.43s | Crítico | 51+
192.168.90.2 | 3.13s | Suspeito | 31-50
192.168.175.177 | 2.92s | Crítico | 31-50
192.168.44.152 | 3.83s | Suspeito | 18-30
192.168.155.18 | 1.23s | Crítico | <18
192.168.84.97 | 3.09s | Crítico | 18-30
192.168.230.217 | 2.06s | Crítico | 31-50
192.168.172.187 | 3.66s | Suspeito | 18-30
192.168.119.144 | 4.24s | Suspeito | 31-50
192.168.8.212 | 0.52s | Normal | 31-50
192.168.252.228 | 1.52s | Crítico | 51+
192.168.239.63 | 0.19s | Normal | 51+
192.168.52.152 | 0.88s | Normal | 18-30
192.168.158.66 | 3.65s | Suspeito | 51+
192.168.20.197 | 4.97s | Crítico | 51+
192.168.45.239 | 2.02s | Crítico | 51+
192.168.190.3 | 2.75s | Crítico | <18
192.168.81.232 | 4.01s | Crítico | 18-30
192.168.33.164 | 4.34s | Suspeito | 31-50
192.168.54.81 | 2.91s | Crítico | <18
192.168.210.232 | 4.82s | Suspeito | 18-30
192.168.19.24 | 0.38s | Normal | 31-50
192.168.103.8 | 4.99s | Suspeito | 51+
192.168.51.75 | 4.69s | Suspeito | <18
192.168.186.29 | 2.73s | Suspeito | <18
192.168.165.58 | 1.38s | Crítico | 18-30
192.168.108.23 | 4.86s | Suspeito | <18
192.168.250.69 | 1.92s | Crítico | 18-30
192.168.182.80 | 1.38s | Crítico | 31-50
192.168.104.47 | 1.51s | Crítico | 31-50
192.168.160.79 | 2.52s | Crítico | 51+
192.168.239.182 | 3.33s | Suspeito | 18-30
192.168.13.173 | 4.93s | Crítico | 18-30
192.168.197.96 | 4.75s | Suspeito | 51+
192.168.110.114 | 4.74s | Crítico | 18-30
192.168.142.94 | 1.86s | Crítico | 18-30
192.168.77.169 | 1.99s | Normal | 18-30
192.168.65.112 | 3.20s | Crítico | 51+
192.168.110.72 | 2.87s | Suspeito | <18
192.168.211.67 | 2.98s | Crítico | <18
192.168.67.76 | 3.24s | Crítico | 31-50
192.168.217.60 | 4.64s | Crítico | 18-30
192.168.63.208 | 1.23s | Normal | 18-30
192.168.113.41 | 1.60s | Normal | 51+
192.168.72.175 | 0.36s | Crítico | 18-30
192.168.150.176 | 4.21s | Suspeito | <18
192.168.251.196 | 4.24s | Suspeito | <18
192.168.225.83 | 0.92s | Crítico | 18-30
192.168.20.39 | 3.60s | Crítico | <18
192.168.37.246 | 4.92s | Suspeito | 31-50
192.168.233.139 | 4.10s | Crítico | 51+
192.168.46.184 | 1.95s | Normal | 51+
192.168.108.168 | 3.38s | Crítico | 51+
192.168.212.88 | 2.52s | Crítico | <18
192.168.111.179 | 4.88s | Suspeito | 51+
192.168.8.121 | 0.66s | Crítico | <18
192.168.100.105 | 2.72s | Suspeito | 18-30
192.168.32.226 | 4.52s | Suspeito | <18
192.168.239.99 | 2.49s | Suspeito | 51+
192.168.177.222 | 0.66s | Crítico | <18
192.168.205.5 | 2.68s | Suspeito | 51+
192.168.182.155 | 0.76s | Normal | 31-50
192.168.4.64 | 1.83s | Crítico | <18
192.168.69.171 | 2.15s | Crítico | 51+
192.168.45.141 | 2.85s | Suspeito | <18
192.168.116.224 | 1.10s | Crítico | 51+
192.168.105.111 | 4.07s | Crítico | 31-50
